,loss,N,device,mean[ms],var[ms]
0,sigmoid_pairwise_loss,100.0,cuda,0.019371509552001953,0.000728123415835095
1,sigmoid_pairwise_diff_hess,100.0,cuda,0.00016045570373535156,1.618142656904335e-11
2,sigmoid_pairwise_loss_auc,100.0,cuda,0.0003253618876139323,3.5260477994193527e-09
3,sigmoid_pairwise_loss_auc_exact,100.0,cuda,0.0003173351287841797,9.24652946802477e-12
4,sigmoid_pairwise_diff_hess_auc,100.0,cuda,0.00020694732666015625,1.4097167877480388e-11
5,sigmoid_pairwise_diff_hess_auc_exact,100.0,cuda,0.0002472400665283203,1.0265921446261927e-10
6,sigmoid_pairwise_loss,21521.428571428572,cuda,0.09640312194824219,1.1168674632244802e-05
7,sigmoid_pairwise_diff_hess,21521.428571428572,cuda,0.033832947413126625,1.938607030953992e-07
8,sigmoid_pairwise_loss_auc,21521.428571428572,cuda,0.07528297106424968,3.173504915644622e-10
9,sigmoid_pairwise_loss_auc_exact,21521.428571428572,cuda,0.20310179392496744,4.535079117178814e-08
10,sigmoid_pairwise_diff_hess_auc,21521.428571428572,cuda,0.041016181310017906,1.72802603831062e-08
11,sigmoid_pairwise_diff_hess_auc_exact,21521.428571428572,cuda,0.048614184061686196,6.212505670393714e-09
12,sigmoid_pairwise_loss,42942.857142857145,cuda,0.3566747506459554,1.0961053299575319e-09
13,sigmoid_pairwise_diff_hess,42942.857142857145,cuda,0.12641374270121256,1.0266582472063924e-06
14,sigmoid_pairwise_loss_auc,42942.857142857145,cuda,0.29267311096191406,9.874535559598977e-09
15,sigmoid_pairwise_loss_auc_exact,42942.857142857145,cuda,0.6699292659759521,7.824648188640518e-09
16,sigmoid_pairwise_diff_hess_auc,42942.857142857145,cuda,0.1414970556894938,1.1149758291948173e-07
17,sigmoid_pairwise_diff_hess_auc_exact,42942.857142857145,cuda,0.16717012723286948,2.8927135847172593e-08
18,sigmoid_pairwise_loss,64364.28571428572,cuda,0.6878766218821207,2.7053842030808383e-08
19,sigmoid_pairwise_diff_hess,64364.28571428572,cuda,0.27674158414204914,2.3336089169687412e-07
20,sigmoid_pairwise_loss_auc,64364.28571428572,cuda,0.5750807921091715,2.2174630329472066e-08
21,sigmoid_pairwise_loss_auc_exact,64364.28571428572,cuda,1.4162434736887615,1.3071215916069277e-06
22,sigmoid_pairwise_diff_hess_auc,64364.28571428572,cuda,0.2971340815226237,2.1816391735127482e-07
23,sigmoid_pairwise_diff_hess_auc_exact,64364.28571428572,cuda,0.34911362330118817,6.829097224504545e-07
24,sigmoid_pairwise_loss,85785.71428571429,cuda,1.1193997859954834,1.332606795282724e-08
25,sigmoid_pairwise_diff_hess,85785.71428571429,cuda,0.4948745568593343,1.525014201635915e-06
26,sigmoid_pairwise_loss_auc,85785.71428571429,cuda,1.024962345759074,1.602637035426192e-08
27,sigmoid_pairwise_loss_auc_exact,85785.71428571429,cuda,2.4513820807139077,2.4235594966941994e-06
28,sigmoid_pairwise_diff_hess_auc,85785.71428571429,cuda,0.526925802230835,6.921375567496094e-07
29,sigmoid_pairwise_diff_hess_auc_exact,85785.71428571429,cuda,0.6279296875,4.4234290423143346e-07
30,sigmoid_pairwise_loss,107207.14285714287,cuda,1.6638507843017578,4.481069026951445e-08
31,sigmoid_pairwise_diff_hess,107207.14285714287,cuda,0.7757477760314941,1.806329616253303e-07
32,sigmoid_pairwise_loss_auc,107207.14285714287,cuda,1.6006240049997966,1.541258648608669e-07
33,sigmoid_pairwise_loss_auc_exact,107207.14285714287,cuda,3.7250869274139404,7.919285553725786e-05
34,sigmoid_pairwise_diff_hess_auc,107207.14285714287,cuda,0.8299023310343424,8.12449852421398e-06
35,sigmoid_pairwise_diff_hess_auc_exact,107207.14285714287,cuda,0.9756667613983154,1.0044550814806523e-06
36,sigmoid_pairwise_loss,128628.57142857143,cuda,2.178248484929403,3.783461326949893e-08
37,sigmoid_pairwise_diff_hess,128628.57142857143,cuda,1.09749436378479,1.446781766389904e-06
38,sigmoid_pairwise_loss_auc,128628.57142857143,cuda,2.1934154828389487,2.6440168059909615e-07
39,sigmoid_pairwise_loss_auc_exact,128628.57142857143,cuda,5.248874107996623,0.0001875084266329294
40,sigmoid_pairwise_diff_hess_auc,128628.57142857143,cuda,1.1847621599833171,8.910168212929017e-06
41,sigmoid_pairwise_diff_hess_auc_exact,128628.57142857143,cuda,1.3679755528767903,1.622705907619901e-06
42,sigmoid_pairwise_loss,150050.0,cuda,2.8985300858815513,5.1022854879395e-08
43,sigmoid_pairwise_diff_hess,150050.0,cuda,1.5121156374613445,7.095281085235507e-06
44,sigmoid_pairwise_loss_auc,150050.0,cuda,3.001652797063192,4.7439711023697676e-08
45,sigmoid_pairwise_loss_auc_exact,150050.0,cuda,7.060142834981282,0.0003582569925634339
46,sigmoid_pairwise_diff_hess_auc,150050.0,cuda,1.63489564259847,5.220216342473173e-05
47,sigmoid_pairwise_diff_hess_auc_exact,150050.0,cuda,1.8886510531107585,4.5730614841785514e-05
48,sigmoid_pairwise_loss,171471.42857142858,cuda,3.5965664386749268,6.80295480985175e-07
49,sigmoid_pairwise_diff_hess,171471.42857142858,cuda,1.9691474437713623,4.028965160311297e-06
50,sigmoid_pairwise_loss_auc,171471.42857142858,cuda,3.8147684733072915,1.2099736876633767e-07
51,sigmoid_pairwise_loss_auc_exact,171471.42857142858,cuda,9.175169626871744,0.0008167314754372355
52,sigmoid_pairwise_diff_hess_auc,171471.42857142858,cuda,2.1926000912984214,3.049125160082945e-05
53,sigmoid_pairwise_diff_hess_auc_exact,171471.42857142858,cuda,2.4922478199005127,2.10277869427955e-06
54,sigmoid_pairwise_loss,192892.85714285716,cuda,4.549420674641927,7.896812551027527e-07
55,sigmoid_pairwise_diff_hess,192892.85714285716,cuda,2.5163780053456626,1.0451485359731627e-05
56,sigmoid_pairwise_loss_auc,192892.85714285716,cuda,4.853755712509155,1.256782221995915e-07
57,sigmoid_pairwise_loss_auc_exact,192892.85714285716,cuda,11.57025440533956,0.0014580048962342417
58,sigmoid_pairwise_diff_hess_auc,192892.85714285716,cuda,2.724724213282267,1.858065424029418e-05
59,sigmoid_pairwise_diff_hess_auc_exact,192892.85714285716,cuda,3.1534620920817056,0.0012933010442313592
60,sigmoid_pairwise_loss,214314.28571428574,cuda,5.597601572672526,4.2658497376477406e-08
61,sigmoid_pairwise_diff_hess,214314.28571428574,cuda,3.1439124743143716,3.1853881043591376e-05
62,sigmoid_pairwise_loss_auc,214314.28571428574,cuda,6.034785747528076,1.9745156502419073e-07
63,sigmoid_pairwise_loss_auc_exact,214314.28571428574,cuda,14.257335265477499,0.0011737170244461796
64,sigmoid_pairwise_diff_hess_auc,214314.28571428574,cuda,3.483642816543579,0.0012340270168730665
65,sigmoid_pairwise_diff_hess_auc_exact,214314.28571428574,cuda,3.970862706502279,0.0014080793632476544
66,sigmoid_pairwise_loss,235735.7142857143,cuda,6.57724944750468,1.037480817305752e-09
67,sigmoid_pairwise_diff_hess,235735.7142857143,cuda,3.7918285528818765,0.00042489947669663606
68,sigmoid_pairwise_loss_auc,235735.7142857143,cuda,7.1344553629557295,1.686140017732719e-07
69,sigmoid_pairwise_loss_auc_exact,235735.7142857143,cuda,17.20590893427531,0.001995100184343654
70,sigmoid_pairwise_diff_hess_auc,235735.7142857143,cuda,4.192261536916097,0.0003002714768298473
71,sigmoid_pairwise_diff_hess_auc_exact,235735.7142857143,cuda,4.839900970458984,0.0006255225130189501
72,sigmoid_pairwise_loss,257157.14285714287,cuda,7.835445324579875,6.157378922782503e-08
73,sigmoid_pairwise_diff_hess,257157.14285714287,cuda,4.533490101496379,2.9436373640439542e-05
74,sigmoid_pairwise_loss_auc,257157.14285714287,cuda,8.537167151769003,2.1616022473204387e-07
75,sigmoid_pairwise_loss_auc_exact,257157.14285714287,cuda,20.42613172531128,0.003806015158412871
76,sigmoid_pairwise_diff_hess_auc,257157.14285714287,cuda,5.012968063354492,0.0004719677816638068
77,sigmoid_pairwise_diff_hess_auc_exact,257157.14285714287,cuda,5.773455063501994,0.00013506235944128598
78,sigmoid_pairwise_loss,278578.5714285714,cuda,9.166214227676392,2.027245538253434e-06
79,sigmoid_pairwise_diff_hess,278578.5714285714,cuda,5.361823399861653,0.0002030099046553207
80,sigmoid_pairwise_loss_auc,278578.5714285714,cuda,10.039100249608358,9.423867418768673e-07
81,sigmoid_pairwise_loss_auc_exact,278578.5714285714,cuda,23.938223282496136,0.004475563314839646
82,sigmoid_pairwise_diff_hess_auc,278578.5714285714,cuda,5.883814732233684,0.002355690437234949
83,sigmoid_pairwise_diff_hess_auc_exact,278578.5714285714,cuda,6.836154222488403,0.0022230889177687154
84,sigmoid_pairwise_loss,300000.0,cuda,10.45901107788086,1.0875241211275959e-07
85,sigmoid_pairwise_diff_hess,300000.0,cuda,5.9875807762146,0.0004921422591905866
86,sigmoid_pairwise_loss_auc,300000.0,cuda,11.498432556788126,2.162497341689434e-07
87,sigmoid_pairwise_loss_auc_exact,300000.0,cuda,27.73769227663676,0.005115310749273602
88,sigmoid_pairwise_diff_hess_auc,300000.0,cuda,6.638797044754028,0.0009702301961548679
89,sigmoid_pairwise_diff_hess_auc_exact,300000.0,cuda,7.745737711588542,0.000572754099809774
90,sigmoid_pairwise_loss,100.0,cpu,9.393692016601562e-05,1.1071316900294429e-08
91,sigmoid_pairwise_diff_hess,100.0,cpu,0.00014090538024902344,8.981260180007666e-12
92,sigmoid_pairwise_loss_auc,100.0,cpu,3.981590270996094e-05,1.8326318240724504e-10
93,sigmoid_pairwise_loss_auc_exact,100.0,cpu,4.013379414876302e-05,4.1091475900935224e-11
94,sigmoid_pairwise_diff_hess_auc,100.0,cpu,0.00015918413798014322,1.5978053448230234e-10
95,sigmoid_pairwise_diff_hess_auc_exact,100.0,cpu,0.00014050801595052084,1.30866182088438e-11
96,sigmoid_pairwise_loss,21521.428571428572,cpu,0.5165939331054688,2.3818394803735526e-05
97,sigmoid_pairwise_diff_hess,21521.428571428572,cpu,1.0104889074961345,9.793264463395542e-05
98,sigmoid_pairwise_loss_auc,21521.428571428572,cpu,0.5378037293752035,5.664219442122784e-07
99,sigmoid_pairwise_loss_auc_exact,21521.428571428572,cpu,0.7757488886515299,7.804841415135243e-09
100,sigmoid_pairwise_diff_hess_auc,21521.428571428572,cpu,0.9662708441416422,0.0032860758844258774
101,sigmoid_pairwise_diff_hess_auc_exact,21521.428571428572,cpu,0.9972524642944336,3.8199701672662435e-05
102,sigmoid_pairwise_loss,42942.857142857145,cpu,2.052048126856486,1.4725313134375836e-05
103,sigmoid_pairwise_diff_hess,42942.857142857145,cpu,3.7574225266774497,0.0036672519370439557
104,sigmoid_pairwise_loss_auc,42942.857142857145,cpu,2.125364383061727,3.670251973946708e-08
105,sigmoid_pairwise_loss_auc_exact,42942.857142857145,cpu,3.080777088801066,2.855670926591201e-06
106,sigmoid_pairwise_diff_hess_auc,42942.857142857145,cpu,3.7661397457122803,3.669589936331855e-05
107,sigmoid_pairwise_diff_hess_auc_exact,42942.857142857145,cpu,3.731858809789022,0.002909984037058975
108,sigmoid_pairwise_loss,64364.28571428572,cpu,4.626896699269612,0.001360557531837811
109,sigmoid_pairwise_diff_hess,64364.28571428572,cpu,8.083334684371948,0.00290300144278414
110,sigmoid_pairwise_loss_auc,64364.28571428572,cpu,4.73958698908488,0.0006130513824144955
111,sigmoid_pairwise_loss_auc_exact,64364.28571428572,cpu,6.894966920216878,3.5410593884282406e-07
112,sigmoid_pairwise_diff_hess_auc,64364.28571428572,cpu,7.920700152715047,0.0030382327941096163
113,sigmoid_pairwise_diff_hess_auc_exact,64364.28571428572,cpu,8.134945074717203,4.042325790325978e-05
114,sigmoid_pairwise_loss,85785.71428571429,cpu,8.099631468454996,1.7613633013348187e-06
115,sigmoid_pairwise_diff_hess,85785.71428571429,cpu,13.81600022315979,0.00025781907303705037
116,sigmoid_pairwise_loss_auc,85785.71428571429,cpu,8.409349282582602,1.0952638957759416e-06
117,sigmoid_pairwise_loss_auc_exact,85785.71428571429,cpu,12.249533096949259,2.5987773003382448e-05
